movie_id,keywords
32,"biological weapon,philadelphia, pennsylvania,schizophrenia,stockholm syndrome,airplane,world war i,underground,insanity,asylum,paranoia,prison cell,dystopia,pimp,lion,post-apocalyptic future,time travel,florida keys,mental breakdown,past,dormitory,insane asylum,cockroach,volunteer,drug use,flashback,remake,psychiatric hospital,jail,mental institution,alternate history,disease,lethal virus,paradox,psychiatrist,monkey,epidemic,trapped,falling down stairs,street life,nonlinear timeline,medical research,tooth,pantyhose,gas mask,psychosis,child's point of view,subterranean,virus,mysterious,recurring dream,1990s,reflective,escaped animal,future noir,2030s,complicated,ominous"
34,"farm,sheep,pig,alarm clock,cat,duck,heroism,affection,piglet,anthropomorphism,based on children's book,dog,separation,farmer,grandson,sheepdog,talking pig,christmas"
36,"prison,death penalty,right and justice,rape,rage and hate,unsociability,court case,court,nun,penalty,therapist,sentence,forgiveness,self-discovery,despair,prison cell,socially deprived family,death row,doomed man,death sentence,lethal injection,charity,mercy petition,cowardliness,angry,dreary,incredulous,depressing,bitter,callous,horrified"
38,"matchmaking,orphan,identical twin,relationship sabotage"
39,"puberty,high school,based on novel or book,make a match,spoiled child,coming of age,matchmaking,conflict,wedding,high school friends,makeover,woman director,popular girl,matchmaker,gay theme,match making"
40,"based on novel or book,south africa,apartheid,priest,1940s,race relations"
41,"england,kidnapping,murder,king"
42,"vietnam,drug abuse,post-traumatic stress disorder (ptsd),war veteran,redemption,loss of virginity,heist,money,revolutinoary,mercy killing,armored truck,bronx, new york city,medic,1960s"
43,"jealousy,court,fountain,medicine,wealth,spaniel,gloves,17th century,british monarchy"
44,"island,martial arts,monster,saving the world,magic,villain,gore,god,alternate dimension,ninja,sorcerer,tournament,underground fighting,based on video game,ghost,hand to hand combat,warrior,action hero,supernatural power,mortal kombat,good versus evil"
45,"adultery,based on novel or book,winter,obsession,new hampshire,mockumentary,narcissistic personality disorder"
46,"marriage proposal,wedding vows,married couple,marriage,monogamy,advice,quilt,love,family holiday,extramarital affair,grandmother,woman director"
47,"rage and hate,police,s.w.a.t.,sadism,self-fulfilling prophecy,psychopath,detective,investigation,insomnia,murder,serial killer,religion,seven deadly sins,depravity,neo-noir"
48,"princess,culture clash,villain,colony,forbidden love,musical,gold rush,native american,colonisation,virginia,star crossed lovers,intercultural relationship,based on myths, legends or folklore,17th century,shamanism,animal sidekick"
49,"professor,lgbt,woman director,lesbian"
50,"new york city,robbery,affectation,relatives,heist,flashback,police corruption,whodunit,los angeles, california,theft,criminal,criminal mastermind,cargo ship,mind game,shocking,neo-noir,mystery villain,suspenseful,incredulous"
52,"prostitute,adoption,adoptive father,childlessness,looking for  birth parents,adoptive mother,illegal prostitution,child"
54,"sports,football (soccer),woman director"
55,"sibling relationship,alcohol,heroin,seattle, washington,artist,singer,drugs,folk singer,sister sister relationship"
57,"generations conflict,baltimore, usa,thanksgiving,family clan,family conflict,woman director,christmas"
58,"island,fisherman,letter,postman,poet,naples, italy,love,poverty"
60,"based on novel or book,cupboard,games,puppet,based on children's book,parallel world,toy comes to life,toy soldier"
61,"rape,gun,self-defense,rape and revenge,grieving parents"
62,"high school,husband wife relationship,composer,music teacher,mentor,deaf-mute,portland, oregon,apprentice,marching band,teacher student relationship,high school teacher,disabled,teaching,sign languages,father son relationship"
63,"hip-hop,slang,date,gangster,cousin,parody,social satire,hood,gang,racism"
64,"island,boston, massachusetts,car thief,painting,romantic comedy,rhode island,thief,mansion,art thief,new england,art theft,stealing a car,seasickness,squatting,1990s,stolen car,fbi agent,criminals"
65,"pollution,biotope,vegetarian,biosphere"
66,"computer,hacker,virtual reality,technology,sword fight,revenge,cyberpunk,scientist,cyberspace,surveillance,based on short story,world domination,supernatural power"
68,"estate agent,van,love triangle,southern france,menage a trois,polyamory,woman director"
69,"drug dealer,rap music,parent child relationship,rapper,male friendship,urban life,slacker,pot smoking,bully,marijuana,los angeles, california,drugs,hilarious"
70,"dancing,showdown,sheriff,sibling relationship,vampire,bank robber,holy water,siege,stripper,priest,bank robbery,preacher,hostage situation,crucifix,recreational vehicle,mexican american border,female stripping,boa constrictor,loss of faith,foot fetish,killer on the run,barefoot,witty"
71,"hacker,based on novel or book,miami, florida,bomb,chase,sadism,kidnapping,hostage,psychopath,spy,detective,handcuffs,fbi,kgb,pizza,parking garage,police protection,car crash,remake,fugitive,on the run,conspiracy,shootout,gunfight,sadist,foot chase,police detective,police station,held at gunpoint,double cross,machine gun,grenade launcher,rogue agent,woman lawyer,damsel in distress"
72,"friendship,college,male friendship,campus,video store,graduate"
73,"paris, france,nun,boxer,lawyer"
74,"florist,family relationships"
75,bully
76,"man vs machine,alien planet,struggle for survival"
78,"loss of loved one,hit-and-run,revenge,tragedy"
79,"court case,jurors,blackmail,son,trial,courtroom,blasphemy,courtroom drama,legal thriller"
80,"fish,money,celebration,goldfish"
81,"friendship,bounty hunter,hitman,parent child relationship,gangster,psychopath,boat,way of life,paranoia,coffin,denver, colorado,godmother,diner,revenge,murder,mafia,illegal prostitution,extramarital affair"
82,"underdog,mentally disabled,suicide,right and justice,rape,free love,parent child relationship,loss of loved one,village life,philosophy,widow,freedom,peasant,village,world war ii,mathematics,feminism,indian summer ,family history,single,male homosexuality,domestic violence,university,woman director"
83,"racial segregation,family relationships,rural area"
85,"class society,insect,rich woman poor man,victorian england,scientist,incest,based on short story,naturalist"
86,"sailing trip,sailing,diary,coming of age,survival,teenage boy,discipline,squall,sail,caribbean sea,male bonding,seasickness,storm at sea,1960s"
87,"boss,fistfight,bully,orangutan,single father,hotel manager,jewel theft,employer employee relationship,bali,father son relationship,brother brother relationship,mischief"
88,"corrupt politician,nitrous oxide,candid camera,double act,political satire,woman director"
89,"assassination,politics,los angeles, california"
92,"monster,servant,laboratory,jekyll and hyde,housemaid,19th century"
93,"vampire,brooklyn, new york city,african american comedy,african american romance,african american lead,black vampire"
94,"friendship,small town,massachusetts,coming of age,hometown,group of friends"
95,"canyon,helicopter,captain,underground,river,mexican standoff,countdown,pilot,fistfight,major,betrayal,gunfight,train,explosion,park ranger,desert,military,nuclear device,boxing,stealth aircraft,abandoned mine,action hero,humvee,good vs evil"
96,"transvestite,theatre group,black and white,hamlet,christmas,gay theme,theater"
97,"neo-nazism,police brutality,hip-hop,paris, france,socially deprived family,breakdance,ghetto,male friendship,racism,xenophobia,day in a life,paris suburb"
99,"narration,based on true story,hollywood,prostitution,sex crime"
100,"drug dealer,corruption,undercover agent,police,undercover,presidential election,war on drugs,mayor,investigation,drugs"
101,"robbery,sibling relationship,burglar,motel,language barrier,heist,psychiatric hospital,maid,theft,nervous breakdown,escapade,laundry room,based on short"
103,"obsession,suspicion of murder,seattle, washington,medical examiner,murder,crime scene,painful memories,death of wife,dangerous side effects,search for truth,experimental drug,murdered wife,neurobiology"
104,"sports,loss of loved one,golf,taxes,anger issues,old-age home,sports comedy"
105,"adultery,secret love,husband wife relationship,based on novel or book,love of one's life,unsociability,marriage crisis,photographer,love at first sight,photography,peasant,mother role,iowa,bridge,housewife,love letter,romantic"
106,"prophecy,voodoo,single,falling in love,woman director,rich man,gay theme"
107,"island,pirate gang,puppet,treasure hunt,puppetry,duringcreditsstinger,teleñecos,isla,tesoro"
110,"epic,england,scotland,loss of loved one,idealism,based on true story,medieval,war,romantic,melodramatic"
111,"drug dealer,vietnam veteran,new york city,taxi,pornography,obsession,taxi driver,pimp,firearm,politician,alienation,junk food,misanthrophy,vigilante,illegal prostitution,character study,loner,manhattan, new york city,neo-noir,child prostitution,new hollywood,drives"
112,"new york city,martial arts,supermarket,diamond,gang war,disabled child,revenge,vigilante,organized crime,gang,fish out of water,wedding,urban setting,street life,bronx, new york city,duringcreditsstinger,frantic,action hero"
113,"suspicion of murder,family drama,crime investigation,murdered teen"
116,"fascism,auschwitz-birkenau concentration camp,victim,typhus,interview,prejudice,burglary,rabbit"
117,"london, england,poison,stepmother,based on true story,murder,mental institution,serial killer,psychiatrist,social misfit"
118,"roommates,single,love,best friend,brooklyn bridge"
119,"sibling relationship,twin brother,lawyer,estate,santa barbara, california"
121,"child abuse,orphanage,1970s,based on true story,newfoundland and labrador,catholic priest,intimate,suspenseful"
122,"ladykiller,success,ladies' man,chefin,casanova,womanizer,african american business,african american romance"
123,"drug smuggling,police,ex-girlfriend,girlfriend,snack bar,romance,hong kong,expiration date,flight attendant,cleaning"
125,"lsd,looking for  birth parents,half-brother"
126,"flying,magic,sequel,dragon,based on children's book,fantasy world"
129,"career,romance,los angeles, california,first love,traffic"
132,"adultery,call girl,san francisco, california,sexuality,blackmail,investigation,seduction,murder,serial killer,prostitution,erotic thriller"
135,"mutiny,submarine,u.s. navy,misfit,maverick,hijinks,nemesis,navy lieutenant,comradeship,nuclear submarine,navy officer,comedy of errors,navy admiral,band of misfits,war games,naval command"
137,"mockumentary,male homosexuality,in the closet,gay theme"
140,"career,miami, florida,reporter"
141,"coming out,florida,homophobia,drag queen,nightclub,senator,politician,based on play or musical,remake,conservative,cross dressing,gay parent,lgbt,political conflict,south beach,playing straight,drag club"
144,"love,best friend,true love,irish catholic"
145,"miami, florida,mexican standoff,male friendship,witness protection,stripper,car crash,strip club,internal affairs,police corruption,gunfight,foot chase,drug lord,murder investigation,nostalgic,hangar,loose cannon,buddy cop,male camaraderie,narcotics detective,action hero,buddy movie,murder witness,buddy detective duo,stolen drugs"
146,"china,panda,poacher"
147,"new york city,sports,heroin,addiction,basketball,friends,based on memoir or autobiography,drugs,1960s,school suspension,gay theme,teenager"
148,"based on novel or book,england,liverpool, england,theatre company,1940s"
149,baffled
150,"rescue,florida,race against time,moon,nasa,spaceman,based on true story,houston,survival,space,disaster,explosion,astronaut,hypothermia,apollo program,lunar mission,spacecraft accident"
151,"scotland,affectation,biography,18th century,highlands,violent man,scottish highlands,joyous,hopeful"
152,"new york city,vampire,philosophy,addiction"
153,"riddle,superhero,villain,rose,based on comic,partner,robin,broken neck,psychologist,criminal,district attorney,millionaire,super power,falling down stairs,tied up,tommy gun,beretta,knocked out,disfigurement,father figure,good versus evil"
154,"adultery,prostitute,jealousy,dreams,husband wife relationship,dual identity,double life,sexual frustration,brothel,women's sexual identity,masochism,sexual exploration"
155,"burma,rangoon,doctor"
156,"smoking,corner shop,cigarette,tobacco"
157,"the white house,political satire,international relations,war plan red"
158,"friendship,afterlife,supernatural,halloween,bullying,treasure hunt,based on comic,friends,teenage girl,ghost hunting,super power,psychiatry,ghost,disorder,young heroes,imaginary,mischievous children,ghost child,mischief,unfinished business"
159,"drug pusher,train,drugs,drug lord,brooklyn, new york city,housing project,inner city life"
160,"based on novel or book,diamond,gorilla,congo,diamond mine,tribe,survival,ancient civilization,zoologist"
161,"mutiny,submarine,missile,embassy,nuclear missile,battle for power,u.s. navy,terrorism,military,moral dilemma,post cold war,aircraft carrier,chain of command,launch code,sonar,nuclear submarine"
162,"underground,biography,art,brothers"
163,"gunslinger,showdown,mexico,ambush,hitman,guitar,anti terror,bartender,revenge,tragic hero,shootout,mariachi,explosion,brutality,drug lord,leg brace,concealed weapon,book store"
164,"based on novel or book,war veteran,jazz club,murder,los angeles, california,biting,private detective,missing person,aggressive,neo-noir,1940s,complex,egotistical"
165,"new york city,taxi,gold,helicopter,robbery,police,bomb,riddle,detective,fbi,sequel,flashback,revenge,shootout,explosion,nypd,cargo ship,wild goose chase,simon says,dump truck,harlem, new york city,aqueduct,bomb threat,action hero,deadly game,federal reserve bank,nyc subway"
166,"friendship,california,nazi,nihilism,eroticism,blow job,controversy,punk rock,surrealism,severed head,drifter,on the road,cynical,threesome,shoplifting,polyamory,voyeur,crystal meth"
168,"camelot,betrayal,knight,king arthur,love affair,excalibur,knights of the round table,lancelot"
169,"whale,human animal relationship,killer whale"
170,"new york city,computer,hacker,computer virus,virtual reality,prank,internet,cyberpunk,hacking,secret service,dream sequence"
171,"new york city,aids,celibacy,based on play or musical,hiv,priest,fate,manhattan, new york city,1990s,gay friend,male male relationship,gay theme"
172,"virtual reality,dystopia,pharmaceutical industry,computer chip,courier,cyber,cyberpunk,cyberspace,based on short story"
173,"corruption,judge,dystopia,superhero,post-apocalyptic future,villain,trial,based on comic,cyberpunk,police officer,revenge motive,justice,based on graphic novel,frame up,law enforcement,framed for murder,gene,prosthetic limb,dna testing,domineering,futuristic city,action hero,good versus evil,ridiculous"
174,"stripper,jury,jury duty,verdict"
175,"puberty,first time,new york city,drug abuse,coming of age,hiv,juvenile delinquent,shoplifting,underage sex,sexually transmitted disease,sleeping around,complex,juvenile delinquency,independent film,banned film,critical,disgusted"
176,"film in film,vomiting,1990s,crying man"
177,"supernatural,fanatic,resurrection,occult,sect,wizard"
178,"gay theme,lesbian"
179,"high school,suicide attempt,college,road trip,teen angst,mental institution,teenage love,mental illness,troubled teen,woman director,teenage romance"
180,"game show,slacker,shopping,mall,ex-boyfriend ex-girlfriend relationship,silent man,coke,bandleader,aftercreditsstinger"
181,"superhero team,ethnic diversity,mmpr"
183,"police,chase,snuff,murder,mute,disk"
184,"new york city,vampire"
185,"california,assassin,mexico,computer program,computer virus,therapist,new identity,secret organization,vacation,on the run,conspiracy,hacking,internet chat,ill mother,loner,computer programming,hospitalization,analyst,cyber terrorism,computer programmer,single woman,surveillance state,internet surveillance,erased,computer disc,stolen life,santa monica pier,imposter"
186,"baby,parent child relationship,pregnancy,marriage,desire to have children"
187,"new york city,library,nightclub,rave,free spirit,club life,dj,woman director,librarian,food vendor,club music,party girl,playful,independent film,party,witty"
188,"angel,archangel gabriel"
189,"trauma,game show,female protagonist,christmas"
190,"pollution,quarantine,chemical,allegory,housewife,medicine,suburbia,female protagonist,allergy,disease,psychiatrist,illness,san fernando valley,disorder,retreat,1980s,enviromentalism,multiple chemical sensitivity (mcs),environmental illness,chronic illness"
191,"based on novel or book,boston, massachusetts,pregnancy,witch burning,puritan,period drama,extramarital affair,17th century"
193,"dancing,go-go dancer,striptease,spanner,affectation,seduction,sexappeal,rivalry,las vegas,malicious,showgirls,cautionary,provocative,dramatic,dancing girls,incredulous,egotistical,bitter,admiring,callous,mean spirited,melodramatic"
194,"smoking,robber,cigarette,laden,writer"
195,"horse,based on true story,family,savannah georgia"
196,"genetics,telepathy,paranoia,dna,transformation,instinct,alien,femme fatale,decapitation,on the run,sexual attraction,los angeles, california,creature,scientist,sexual desire,cocoon,genetic engineering,interspecies romance,alien dna"
198,"future,pornography,prostitute,police brutality,dreams,rape,police,virtual reality,paranoia,ex-girlfriend,bodyguard,rapper,dystopia,minidisc,ex-cop,murder,cyberpunk,los angeles, california,criminal,private detective,revolt,tech noir,woman director"
199,"car mechanic,letter,normandy, france,musical,single,umbrella,1950s,1960s,cherbourg, france"
201,"baseball,korean war (1950-53),drifter,dog,woman director"
202,"paris, france,mentor,poet,biography,based on play or musical,lgbt,woman director,19th century,gay theme"
203,"new york city,transvestism,homophobia,drag queen,road trip,travel,drag,woman director,mischievous,amused,comforting,vibrant"
204,"pentagon,u.s. air force,satellite,u.s. navy seal,train,terrorism,cyber terrorism,action hero,good versus evil"
205,woman director
206,fashion
207,"pregnancy,world war ii,vineyard,love,remake,harvest,grape,abandoned woman"
208,"sailboat,tattoo,based on novel or book,diving,ocean,mutant,post-apocalyptic future,pirate,oil tanker,environmental disaster,reluctant hero"
209,"dystopia,black white relations,angry,alternate universe,introspective,arrogant"
210,"loss of eyesight,opium,biography,sioux,wild bill hickok,calamity jane"
212,"cave,mistaken identity,waterfall,boy scouts leader"
213,"husband wife relationship,colonel"
214,"london, england,monk,mountain,restaurant,war photographer,fashion photographer,albanian,macedonia"
215,"sunrise,talking,soulmates,walking,austria,vienna, austria,semi autobiographical,playful,lighthearted,cliché"
216,"family business ,school,woman director,back to school"
217,"alcohol,obsession,babysitter,parents"
218,"friendship,escape,aids,homophobia,homicide,roommates,car journey,female friendship,road trip,friends,domestic violence,fresh start,abusive boyfriend,lesbian,chosen family"
219,"aids,mississippi river,minnesota,male friendship,hiv,sick child"
220,"child abuse,monster,haunted house,castle,sexual violence,inheritance,car accident,cannibal,death,estranged wife,blindness,voyeurism,infanticide,blind woman,death of a child,low budget"
222,"college,forbidden love,moral conflict,childhood friends,1950s"
223,"salesclerk,work,loser,male friendship,junk food,black and white,aftercreditsstinger,day in a life,workplace comedy,wry"
224,"sex addiction,love,mental institution,patient,psychiatrist,don juan"
225,"based on novel or book,seattle, washington,employee,workplace,sexual harassment,intrigue,erotic thriller,computer technology"
227,"florida,washington dc, usa,miami, florida,training,emergency landing,u.s. marshal,tragedy,airplane hijacking,skydiving,break in,federal agent,escaped prisoner,criminal gang,dea,prison break,loss of brother,revenge thriller,prisoner transport,airplane passenger,4th of july,crazy,d.e.a.,former agent,prisoner escort,robbery crew,skydiving school,skydiving instructor,skydiving team"
228,"heist,expectant father"
229,"married couple,based on play or musical,chile,pinochet regime,revenge,doctor,torture,humiliation"
230,"depression,child abuse,island,based on novel or book,detective,suspicion of murder,abusive father,melancholy,dysfunctional family,lawsuit,alcoholism,murder,maine,domestic violence,reporter,maid,anger,alcoholic father,macabre,angry,accident,abusive husband,anti-depressant,bank account,antagonistic,awestruck"
231,"gas station,utah,motel,stupidity,cigar smoking,road trip,pill,prank,criminal,buddy,fired from the job,clumsiness,stepparent stepchild relationship,aspen colorado,parakeet,defecation,scooter,endangered species,foolish,laxative"
232,"daughter,cooking,sense of life,aging,taiwan,teacher,food,taiwanese,dating,family,chef,widower,taipei,father daughter relationship,sister sister relationship,chinese cuisine,sisters,gastronomia"
233,"nightclub,pet shop,unhappiness,drama"
234,"island,based on novel or book,smuggling (contraband),sexuality,romance,love,mistress,kinky,bdsm,detective comedy"
235,"individual,taxi,fortune teller,transsexuality,transvestite,movie business,drug addiction,boxer,oddball,celebrity,morphine,los angeles, california,black and white,suburb,theremin,handgun,trick or treating,1950s"
236,"friendship,airport,countryside,paris, france,smuggling (contraband),in love with enemy,fear of flying,necklace,vineyard,deal,fiancé,break-up,cannes"
237,"paris, france,crisis,dallas texas,basketball,falling in love,told in flashback,referee"
238,"wilderness,boy and dog,pets"
239,"parent child relationship,pop singer,musical,road trip,celebrity,first love,cross country trip,father son relationship"
241,"based on novel or book,parent child relationship,reincarnation,flashback,talking dog,car accident,dog,pets"
242,"opera,sibling relationship,eunuch,biography,dresden, germany,opera singer"
243,"country music,pig,talking pig"
246,"chicago, illinois,sports,narration,ghetto,college,basketball,high school sports,inner city,high school student,preserved film"
247,"mother,obsession,literature,christchurch,based on true story,love,friends,murder,relationship,1950s,romantic,tragic"
248,"christmas party,christmas tree,pittsburgh, pennsylvania,identity theft,christmas"
249,"composer,deaf,letter,biography,sister-in-law,character study,uncle nephew relationship,für elise,ludwig van beethoven"
250,"summer camp,psychopath,overweight,obesity,instructor,weight loss,fitness center,camp classic"
251,"martial arts,assassin,samurai,self sacrifice,villainess,secret society,fistfight,ninja,one man army,one against many,sword duel,good versus evil"
252,"wedding vows,mathematician,car mechanic,comet,albert einstein,halley's comet,matchmaker,research scientist"
253,"paris, france,based on novel or book,san francisco, california,vampire,bite,new orleans, louisiana,plantation,louisiana,pity,child vampire,gothic horror,18th century,plague,19th century,lgbt interest,reluctant vampire"
254,"ambassador,france,paris, france,revolution,biography,versailles,president,18th century"
255,"new york city,gangster,prank telephone call"
256,"baby,media,pregnancy,medicine,scientist,male pregnancy,fertility,gynaecology,ceasarean birth"
257,"florida,small town,rape,based on novel or book,professor,black people,innocence,harvard university,revenge,serial killer"
258,"time travel,earthquake,camelot,king arthur,medieval,6th century"
259,"prison,new york city,undercover agent,gangster,psychopath,paranoia,witness protection,remake,revenge,murder,organized crime,recovering alcoholic,federal agent,hoodlum,undercover operation,neo-noir"
260,"empire,galaxy,rebellion,android,hermit,smuggling (contraband),freedom,rebel,rescue mission,space,planet,desert,super power,oppression,space opera,wizard,totalitarianism"
261,"depression,parent child relationship,holiday,pregnancy,sister,desire,chalkboard,nightgown,birth of twins,woman director,christmas,19th century,christmas romance,four sisters"
262,"based on novel or book,parent child relationship,boarding school,servant,private school,female friendship,school,little girl,orphan,class differences,india,schoolgirl,presumed dead,attic,magic realism,interracial friendship,african american servant"
263,"love,family,social services"
265,"jealousy,sibling relationship,based on novel or book,cooking,marriage,mexican revolution,platonic love,wedding,single mother,magic realism,former lovers,lovers separated,mexican cooking recipes"
266,"sibling relationship,post-traumatic stress disorder (ptsd),based on novel or book,world war i,journey around the world,montana,loyalty,ranch,affectation,native american,tragedy,interracial marriage,sibling rivalry,falling in love,interracial friendship,1910s,1900s,political aspiration,father son relationship,brother brother relationship,prohibition,beautiful landscapes,melodramatic,u.s. army soldier"
267,"war veteran,headquarter,military spoof,military base,military service,base,major,instructor"
269,"east los angeles,gang,los angeles, california,poverty,gang member,hispanic,mexican american,girl gang,woman director,cholo,chola,echo park"
270,"cruise,disabled,empire state building,accident,accident victim"
271,"self-abandonment,child abuse,mother,baby,based on novel or book,court case,single parent,social worker,smoking,drug addiction,adoption,social work,son,liberation,custody battle,looking for  birth parents,racist,surrogate mother,interracial relationship,extramarital affair"
272,"husband wife relationship,biography,based on true story,based on play or musical,parliament,mental illness,mental health,18th century,king of england,assassination attempt,aristocracy,british monarchy,self destructiveness"
273,"experiment,remake,gothic horror,goth"
275,"holiday,slapstick comedy,remake,rollerblades,cross dresser,woman director,suicide hotline,christmas"
276,"prostitute,tree house,red-light district,stripper,make a match,mob boss,father son relationship"
277,"new love,holiday,department store,santa claus,miracle,wish,remake,christmas"
279,"immigrant,marriage,family relationships,los angeles, california,family,death of wife"
280,"prison,prisoner,death row,alcatraz prison,lawyer,courtroom,murder trial,1940s,mistreatment,public defender,prisoner abuse"
281,"small town,illegal employment,retirement,new york state"
282,"lake,loss of loved one,twin sister,autism,kaspar-hauser-syndrom,feral child,forest,north carolina,psychologist,family"
283,"hip-hop,new jersey,police,brutality,troubled teen,black youths"
285,"suicide,experiment,based on novel or book,detective,hallucination,scientist,drugs,killer"
288,"daughter,journalist,sadistic,mass murder,yellow press,pop culture,trauma,controversy,satire,young couple,abuse"
289,"fortune teller,soulmates,venice, italy,cheating,italy"
290,"individual,suicide,rape,strong woman,tattoo,slum,funeral,alcohol,tradition,approved school ,loss of loved one,despair,indigenous,ghetto,violent husband,new zealand,maori,lack of prospects,maori tradition,teacher,youth gang,crush,domestic violence,rebellious youth,alcohol abuse,incest,unemployment,auckland"
291,"obsession,diary,sequel,murder,lust,art,woman director,erotic movie"
292,"research,army,general,river,monkey,epidemic,medical research"
293,"hotel room,new york city,immigrant,assassin,police brutality,corruption,s.w.a.t.,hitman,loss of loved one,training,revenge,murder,loneliness,neighbor,tragic love,city life,neo-noir,complex relationship,suspenseful"
294,"immigration,woman director,political prisoner,cuban refugees"
295,"jealousy,teenage crush,arsonist,house fire"
296,"drug dealer,boxer,massage,stolen money,briefcase,crime boss,redemption,heirloom,dance competition,los angeles, california,theft,nonlinear timeline,multiple storylines,neo-noir,sinister,film in chapters"
298,"martial arts,culture clash,chinatown,tai chi,american culture,fish out of water,new york state,generation gap,intercultural relationship,family home,culture shock,multigenerational"
299,"faith,conservative,church,united kingdom,catholic priest,crisis of faith,woman director,abuse,gay theme,gay priest"
300,"investigation,manipulation,manipulation of the media,game show,idealism,tv ratings,based on true story,quiz,idealist,product placement,lawyer,1950s,fighting the system"
301,"hawaii,arranged marriage,cultural difference,orphan,older man younger woman relationship,woman director"
302,"paris, france,based on novel or book,marriage of convenience,royalty,conspiracy,palace intrigue,16th century,religious persecution,st. bartholomew's day massacre,french history"
303,"gunslinger,revenge,prairie,shootout,awestruck"
304,"funeral,grandparent grandchild relationship,birthday,roommates,vegetarian,orphan,based on short story,deathbed"
305,"hotel room,paris, france,mannequin,suspicion of murder,fashion photographer,sandwich,poodle,reporter,fashion,fashion show,modeling"
306,"infidelity,judge,isolation,shadowing,english channel,geneva, switzerland,weather forecast,retiree,dog,surveillance,prediction,unlikely friendship,the color red,love destiny,fashion model,inspirational,enchant"
307,"france,paris, france,composer,pain,to compose,loss of loved one,complex,psychological drama,french"
